Comment,Likes,Time,Author
"Prediksi: Apakah Indonesia Akan Menjadi Negara Otoriter Militer?

1. Tren yang Mengarah ke Otoritarianisme Militer

Ada beberapa tanda yang menunjukkan bahwa Indonesia bisa saja bergerak ke arah pemerintahan yang lebih otoriter dengan pengaruh militer yang semakin kuat:
✔ Revisi UU TNI → Militer kini bisa masuk ke 15 jabatan sipil tanpa harus pensiun, membuka jalan bagi pengaruh militer dalam pemerintahan.
✔ Pelemahan Demokrasi → Banyak kebijakan yang mengurangi transparansi, mempersempit kebebasan sipil, dan melemahkan oposisi.
✔ Peningkatan Peran Militer dalam Keamanan Dalam Negeri → Polisi dan militer semakin sering digunakan untuk mengamankan protes, bahkan dalam urusan sipil seperti penegakan hukum dan kebijakan publik.
✔ Pola Seperti Orde Baru → Di era Orba, militer punya peran besar dalam politik dan bisnis. Beberapa kebijakan saat ini menunjukkan pola serupa, meskipun belum sepenuhnya kembali seperti dulu.

2. Faktor yang Bisa Mencegah Otoritarianisme Militer

Namun, ada juga faktor yang bisa menghambat atau memperlambat transisi menuju negara otoriter berbasis militer:
❌ Masyarakat Sipil yang Masih Kuat → Media, aktivis, dan masyarakat masih bisa bersuara dan mengkritik pemerintah, meskipun dengan risiko lebih besar.
❌ Konflik Internal di Elite Militer & Sipil → Tidak semua pihak di dalam militer mendukung keterlibatan aktif mereka dalam politik. Beberapa jenderal lebih fokus pada profesionalisme TNI.
❌ Pengaruh Internasional → Indonesia masih bergantung pada hubungan dengan negara-negara demokratis seperti AS dan Eropa, yang bisa menekan jika demokrasi semakin mundur.
❌ Ekonomi & Stabilitas Publik → Jika ekonomi memburuk akibat kebijakan otoriter, bisa ada perlawanan dari dunia usaha dan masyarakat luas.


---

Prediksi: 3 Kemungkinan Masa Depan

1️⃣ (30%) Demokrasi Lemah dengan Pengaruh Militer yang Semakin Kuat

Pemerintah tetap mempertahankan sistem demokrasi, tetapi militer punya pengaruh besar di dalamnya.

Mirip dengan model Turki sebelum 2010-an atau Mesir saat ini, di mana pemimpin sipil masih ada, tetapi militer tetap memegang kendali di belakang layar.

Ini adalah skenario paling mungkin dalam jangka pendek.


2️⃣ (50%) Demokrasi Semu yang Perlahan Menuju Otoritarianisme

Pemilu tetap ada, tetapi dikontrol secara ketat oleh elite politik dan militer.

Partai oposisi dilemahkan, protes masyarakat ditekan lebih keras.

Militer semakin sering masuk ke dalam pemerintahan sipil dan bisnis.

Bisa berkembang menjadi model Rusia atau China, di mana ada sistem politik yang tampak demokratis, tetapi semua dikendalikan oleh elite yang sama.

Ini skenario yang paling mungkin dalam 10-20 tahun ke depan jika tidak ada perlawanan dari masyarakat sipil.


3️⃣ (20%) Indonesia Menjadi Negara Otoriter Militer Seperti Orde Baru

Militer mengambil alih sepenuhnya pemerintahan dan mengontrol semua aspek kehidupan politik dan ekonomi.

Demokrasi mati total, dan kebebasan sipil lenyap.

Pemimpin politik berasal dari elite militer, bukan lagi dari partai-partai sipil.

Ini skenario ekstrem, tetapi kecil kemungkinannya dalam waktu dekat.



---

Kesimpulan: Apakah Indonesia Akan Jadi Otoriter Militer?

➡ Kemungkinan besar Indonesia tidak akan langsung menjadi negara otoriter militer penuh seperti Orde Baru. Namun, tren saat ini menunjukkan bahwa kita bisa menuju demokrasi semu yang dikendalikan oleh elite politik dan militer, mirip dengan Rusia atau Turki di masa lalu.

➡ Jika masyarakat sipil tidak cukup kuat untuk melawan tren ini, dalam 10-20 tahun ke depan, kita mungkin akan melihat militer semakin dominan dalam pemerintahan dan kebebasan sipil semakin berkurang.

➡ Tapi jika ada perlawanan yang cukup kuat dari rakyat, media, dan kelompok pro-demokrasi, Indonesia masih bisa bertahan sebagai negara demokrasi, meskipun dengan banyak kekurangan.",3,2 bulan yang lalu,@argawinarya
"Tidak, di Amerika Serikat supremasi sipil atas militer sangat ketat dan aturan mengenai militer aktif di jabatan sipil jauh lebih ketat dibandingkan di Indonesia.

1. Larangan Keras Militer Aktif di Jabatan Sipil

Di AS, seorang anggota militer tidak boleh menduduki jabatan sipil selama masih aktif berdinas.

Jika seorang prajurit ingin masuk ke pemerintahan sipil, mereka harus pensiun terlebih dahulu.

Undang-Undang Posse Comitatus (1878) melarang militer terlibat dalam urusan sipil dan penegakan hukum, kecuali dalam keadaan darurat yang sangat khusus.


2. Jabatan Sipil yang Bisa Dipegang oleh Militer di AS

Menteri Pertahanan (Secretary of Defense) bisa diisi oleh mantan militer, tetapi ada syarat khusus:

Harus sudah pensiun selama minimal 7 tahun sebelum menjabat.

Jika kurang dari 7 tahun, harus mendapat persetujuan khusus dari Kongres (ini jarang terjadi).

Contoh: James Mattis (2017) dan Lloyd Austin (2021) harus mendapatkan waiver dari Kongres karena pensiun kurang dari 7 tahun sebelum menjadi Menhan.


Kepala Badan Intelijen seperti CIA juga bisa diisi oleh mantan militer, tetapi harus pensiun dulu.

Gubernur dan Pejabat Tinggi Lainnya – Banyak veteran militer yang menjadi pejabat sipil setelah pensiun, tetapi bukan saat masih aktif berdinas.


3. Kenapa AS Melarang Militer di Jabatan Sipil?

Supremasi Sipil adalah Prinsip Utama – Amerika menekankan bahwa pemerintahan harus dikendalikan oleh warga sipil, bukan oleh militer.

Mencegah Kudeta dan Militerisasi Pemerintah – Banyak negara yang mengalami kudeta atau otoritarianisme karena militer terlalu kuat dalam urusan sipil.

Memastikan Militer Tetap Netral – Jika tentara ikut serta dalam politik atau pemerintahan sipil, dikhawatirkan mereka akan menjadi partisan dan kehilangan independensinya.



---

Kesimpulan: Indonesia vs AS dalam Militer di Jabatan Sipil

Jadi, Indonesia lebih longgar dalam hal ini dibandingkan AS, yang sangat ketat menjaga supremasi sipil. Jika revisi UU TNI di Indonesia terus memberi ruang bagi militer aktif untuk menduduki jabatan sipil, ada potensi meningkatnya pengaruh militer dalam politik dan administrasi negara.",1,2 bulan yang lalu,@argawinarya
Tolong agar BBC laporkan ke pemerintah Inggris atas uu tni ini yg tumbuh lg seperti orba.,2,2 bulan yang lalu,@dfffdfhh
"DEMO NYA JANGAN CUMA TOLAK RUU TNI DONK 
KENAPA KALIAN GAK SEKALIAN DEMO, BAKAR BAKAR, APA GIMANA SOAL PERAMPASAN ASET PARA KORUPTOR DAN MEMISKINKAN MEREKA.
ITU YANG WAJIB DI DEMO.
KALIAN INI DEMO BAYARAN APA YA???
WOE MATA HATI KALIAN DIMANA.
KADANG SUKA HERAN KENAPA PADA BUNGKAM ANJ**KKKKK",0,2 bulan yang lalu,@SatriaSamin
senengg  kloo negaraa chaoss ginii jadii gakk ngeboseeninnn,0,2 bulan yang lalu,@boiboi8567
"Enak jadi TNI melanggar hukum masi dibela dan tdk dapat proses peradilan umum, nnti keluargaku suruh jadi TNI aja biar bebas melanggar hukum",1,2 bulan yang lalu,@panca8550
Gw salah sih pilih pemimpin. Gimana cara gw berpartisipasi biar pemimpinnya bisa dikasih paham,0,2 bulan yang lalu,@Handleit-q6y
"Klo keluarga ku sy suruh masuk POLRI aja tiap ada kasus masyarakat, dapat uang klo ndk bayar gk usah di urus klo gk Viral seperti sekarang....😂😂😂",0,2 bulan yang lalu (diedit),@Ajudin-k3k
Bodohnya orang ini,0,4 minggu yang lalu,@OtenBenaluIndonesia
Tau isi tuntutan mahasewa tidak?,0,4 minggu yang lalu,@OtenBenaluIndonesia
Ayok boikot bayar pajak!!!!!!!!!!?,0,2 bulan yang lalu,@Zulmahdi-do9of
"Rakyat kecil mah gak tau politik , Negara ini mau di pimpin Militer ataupun sipil kami ikut saja yg penting Negara ini Adil, Aman,sembako murah, birokrasi mudah dan lancar ,tidak menindas rakyat  juga bersih dari koruptor.",0,2 bulan yang lalu,@SuMan-f7p1p
Saya dukung RUU TNI. Karena sipil terlalu banyak korupsi,0,2 bulan yang lalu,@ChanxZ86
"Lebih baik TNI la yg pegang dr pada sipil yang bisa disuapin pake duit tanpa moral dan harga diri, seperti era suharto dan SBY sepertinya lebih aman dan damai, harga2 murah, dan keamanan lebih terjamin dan yang pasti tdk ada lg bandit berseragam yg berani sewenang2 kpd rakyat!!!",0,2 bulan yang lalu,@ZiZaFaFood
Terimakasih atas disahkan uu abri rakyat rindu orde baru aman tentram  tertib,2,2 bulan yang lalu,@MbaUah-c1w
Demo jaman sekarang kebanyakan bayaran.,0,2 bulan yang lalu,@icewati8415
"sangat setuju rakyat /masysrakat kembalikan  UU TNI DWIFUNGSI  ABRI  , UUD1945 dan GBHN",0,2 bulan yang lalu,@AliBudi-e3b
"Rakyat belum melihat apa politik dan strategi Panglima TNI, kok tugasnya cuma menaikan pangkat jadi jendral dan mutasi pejabat saja tiap hari ??????",0,2 bulan yang lalu,@dewasutedja2261
"Yg selalu bangga2in ini 
Sana lihat
Berapa korban mereka dalam waktu singkat ?
Tes drive mobil ada yg mati
Bekingin judi ada yg mati
Wartawati ada yg mati",0,2 bulan yang lalu,@AndyChalsenggeh
Tolong ott bandar togel yang setor ke aparat nanti pasti jera.perjudian,0,2 bulan yang lalu,@PutriWidia-ml8ef
Tolong siapa yang bikin negara dan rakyatnya miskin gara gara korupsi uang negara dan uang rakyat,0,2 bulan yang lalu,@peoplehuman-oj6jm
Mungkin yang bingung para koruptor kali.,0,2 bulan yang lalu,@krisnahartanto
bagusan mana? TNI APA POLISI?,0,2 bulan yang lalu,@iamandiwijaya5586
Saya menentang min,0,2 bulan yang lalu,@mardanmarlboro8139
PEJUANG YG GUGUR DALAM REFORMASI SIA2,0,2 bulan yang lalu,@faridahanumdaulay3012
"Memangnya TNI bisa masuk ke instansi mana saja sih? Kok kayak menakutkan banget ya? Emang TNI bisa menjabat di BUMN, gitu?",0,2 bulan yang lalu,@nomodusproject
"Ngerih kalo udah jdi seperti Myanmar.. .. .
Masyarakat yg melawan hanya sampah bagi mereka .. .",0,2 bulan yang lalu,@user-no7gp8cd4r
"Karna jokowi prabowo jadi presiden, karna prabowo jadi presiden sekarang indonesia jadi seperti ini ada saja kebijakan2 yg tidak berpihak pada rakyatnya",0,2 bulan yang lalu (diedit),@DidiManurung
"Cobalah masyarakat turuti saja semua peraturan pemerintah skrng, kerja kita hanya diam ikuti aturan, to waktunya saja hanya 5 tahun kedepan, ntar kalau tidak puas dan pereturanya semakin merugikan masyarakat , ya pemilu selanjutnya ganti presiden wajib, dan demo besar besaran agar peraturan2 presiden sebelumnya harus d hpus,  ,  ,",0,2 bulan yang lalu,@sepaktakraw21
"RUU TNI  tujuan Presiden bisa menggunakan TNI.
Presiden kebanyakan menyalah gunakan status Panglima Tertinggi.
Sesungguhnya status Panglima Tertinggi hanya dalam ke ada an darurat perang.
Dalam darurat perang  Presiden boleh menaikkan pangkat , memberi pangkat seseorang yang bukan dari lingkungan militer, selain keadaan itu tidak dibenarkan.",0,2 bulan yang lalu,@SumartonoTono-l5e
Media antek asing,0,2 bulan yang lalu,@NurulZahira-v5x
Yg penting penambahan tugas tugasnya tidak mengarah ke kudeta militer saja seperti men... Mar,0,2 bulan yang lalu,@SriHeni-s2m
"Jika mereka berulah,kita harus melakukan Revolusi kuncinya cuma 1 yaitu kebersamaan,maju bersama,saya yakin pasti ada negara lain yang akan membantu,jika itu memang akan menghancurkan negara maka lebih baik hancur saja.",0,2 bulan yang lalu,@Gurlah67
kami dukung,0,2 bulan yang lalu,@ainu32
setuju krna nkri harga mati  dan libas berantas korupsi paham,0,2 bulan yang lalu,@smamsaofficial4778
Pak anis cmn tertwa trbhak bahak²😂 wok² liat indo smkin kcau😆,0,2 bulan yang lalu,@AhmadRamdani-o3t
"0:09 ""Presiden Prabowo mengusulkan pembahasan revisi UU TNI di DPR, diprioritaskan tahun ini. Padahal sebelumnya,pembahasan itu enggak masuk daftar prioritas DPR tahun 2025 ini. Enggak tanggung-tanggung, pembahasannya ditargetkan selesai 21 Maret, sebelum DPR reses.""",1,2 bulan yang lalu,@RealPanacea
tnggu aja negara ini kacau balau... memang smua ini sampai serumit ini itu ulah pemerintah yg tdk proo ke masyarakat nya.,0,2 bulan yang lalu,@MartenroniRoni
Sedih nya generasi sekarang,0,2 bulan yang lalu,@Tara7419
👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍 BAGUS PAK PREKSIDEN,0,2 bulan yang lalu,@YashedHasan
Gpp lah biarin aja ...dri pada polisi mending tni aja,0,2 bulan yang lalu,@ImamJauhari-e4g
"Sak karepe, aku mangan gak melok pemerintah ,aku mangan golek Dewe.
Bah instansi sipil di bek i TNI bah orah",0,2 bulan yang lalu,@herulwijaya2386
58% ok gas ok gas... Lebok tah ok gas,0,2 bulan yang lalu,@thorcia6_naufalalabrar476
"Konoha is being destroyed more and more due to greed, Sumatra should just be independent from Java",0,2 bulan yang lalu,@dedyzee
Setuju,0,2 bulan yang lalu,@Kenta810
Jokowi aku gak cocok banyak korupsi juga banyak hoak karena takut sama PDIP,0,2 bulan yang lalu,@madrais1890
Biar masyarakat aman dan makmur ini maka harus sekarang revisi  uu di resmikan kalau yang masalah hanya hanya hanya itu dugaan aja buat menduga menduga gak nyasa harus disahkan revisi UU,0,2 bulan yang lalu (diedit),@madrais1890
Prabowo sudah gagal jd presiden...lbih baik mundur gibran jg kalian gk pro rakyat..,0,2 bulan yang lalu,@nadimpucreativeforniture8690
Presiden tidak membela rakyat,1,2 bulan yang lalu,@InaraPutri-ld1kf
PAK PRABOWO BISA GAK USULKAN UU UNTUK PARA KORUPTOR UNTUK DI MISKIN KAN ?? KALO BISA BERARTI ANDA SALAH SATU PAHLAWAN YG AKAN DI KENANG KEBIJSANAANNNYA SAMPAI ANDA TIADA NANTI TAPI KALO GAK BISA MUNGKI KENANGAN NYA AKAN SEBALIK NYA DAN MUNGKIN AKAN DI ANGGAP SAMA SAJA DENGAN PRESIDEN PRESIDEN SEBELUM NYA,0,2 bulan yang lalu (diedit),@GuntaraMU
Kalo kesatria sejati harus berani rampas aset koruptor yang lebih sadis dari TNI polri,0,2 bulan yang lalu,@ParadutaSurya-fm8hw
Bisa memeras rakyat mengebuk rakyat ..malah bisa menjual rakyat,0,2 bulan yang lalu,@TungkukTenuk
Ini nama ny kurang kerjaan,0,2 bulan yang lalu,@jovisandriell9100
"setuju saja, karena meresahkan mafia , sebagai rakyat biasa gk ngaruh jg",0,2 bulan yang lalu,@RaffiDekove
"karna TNI kalau tidak di ganggu bliau tak akan menggu  orang lain, TNI menunggu menjalani tugas yang baik,kalau ada yg mengganggu jangan harap TNI akan diam.gardan utama negara adalah TNI.",0,2 bulan yang lalu,@ridokosumo2704
Siapa suruh pilih 02 😂😂😂 tangisi aja itu tangisin capekk bgt lihat negara ini kayak jadi lelucon aja .,0,2 bulan yang lalu (diedit),@Mirnaadliani
"Politikus vs Militer
Kita lihat saja siapa yg paling efektif u mensejahterakan rakyat Indonesia. Jika kita hanya memperdebatkannya tentu kita tidak akan melihat perubahannya. JIKA INGIN MELIHAT PERUBAHAN MAKA JANGAN LAKUKAN HAL SEPERTI KEMARIN",0,2 bulan yang lalu,@gunawant0p4z89
"Hahahahaha...apapun di buat prabowo itulah ke inginan rakyat indonesia, karena yg memilih presiden adalah Rakyat. Jadi jangan di sesali",0,2 bulan yang lalu,@KutaNari
Saya yakin prabowo sengaja bikin uu tni karna belajar dr suriah yg rakyatnya memberontak terhadap pemerintah yg kejam itu...jd saya rasa pemerintah ini mereka sudah yakin bahwa mereka pemimpin KEJAM dan mereka ketakutan jika  suatu saat nanti rakyat memberintak PENJAHAT ini,0,2 bulan yang lalu,@Aqilah-k8o
"catat ini point pentingnnya, lalu simpulkan sendiri...
1. banyaknya TNI menduduki jabatan sipil sejak zaman presiden jokowi, 
2. diantara alasan dipilihnya anggota TNI yg menduduki jabatan sipil adalah ketidak percayaan sipil pada politisi...",0,2 bulan yang lalu,@ikycenay1179
Jika kebijakan ini untuk kesejahteraan rakyat Indonesia saya pikir tidak masalah... Dwi pungsi di lakukan... Karna sipil juga banyak yg korupsi dan menjadi pejabat mode preman... Semua ada burik dan baik nya... Namun lebih mudah di atur dari pusat itu ya TNI... Jadi baik buruk nya TNI ada di pimpinan,0,2 bulan yang lalu,@SoekGin
"Yang penting untuk perdamaian Dan pardaimaiyan  Rakyat, jangan  Ada terjadinya begal pembegalan Perampokan dijalan jalan dan Narkoba Perusak akan generasi muda masa depan  Bangsa Indonesia Dan perdamaian dan keamanan Rakyat untuk  berusaha mencari kebutuhan hidup Rakyat,",0,2 bulan yang lalu,@darlisbkn5633
Yg penting yg berilmu adamuduh ya. Iar GK  jadi orang duwung,0,2 bulan yang lalu,@JidokJiwanto
"Banyak tni arogan...,",0,2 bulan yang lalu,@JanuryJanury-s9h
Saya lebih percara dengan tni,0,2 bulan yang lalu,@WahyuDiarsa
Makan tuh Oke Gasss 😂😂😂,0,2 bulan yang lalu,@merpatijembros5935
Bagus saya dukung,0,2 bulan yang lalu,@harpianto
"Dapaknya. "" Apa kau tahu2  sepatu sudah kena kepala "" 1:27",0,2 bulan yang lalu (diedit),@HitamWarna-e3n
aku dukung tni,0,2 bulan yang lalu,@ajiputa8734
"Dengan cara yg tidak masuk di akal,dalih setiap kepala daerah mengikuti RETRET ala ala militer.
Sama hal nya mendoktrin setiap kepala daerah.
Politisi yang berpolitik supaya kepala daerah tidak bisa berbuat apa apa di saat UU TNI di sah kan.",0,2 bulan yang lalu (diedit),@adi-no1on
Menentang,0,2 bulan yang lalu,@andekRece
Kita koar2 juga gak bakal di dengar.. hnya saat pemilu ajak kita di dengar.. itu pun klu di kabulin..😅,0,2 bulan yang lalu,@sariasih50
"Karena takut mereka gak bs korupsi apabila dimasuki TNI.😂😂😂 kan udh dijelaskan jabatan tertentu saja yg bs dimasuki TNI yg sesuai bidang pertahanan. Gak jabatan sipil Nya yg diambil...
Dan org² dng niat korup berani membiayai demo agar RUU iNi digagalkan.
Itu jalan PKI. Terbaca sudah.....
Makannya dibaca dlu isi RUU nya. Hadeehhhh",0,2 bulan yang lalu (diedit),@adityaradit4994
kenapa militer harus masuk kejabatan jabatan sipil ??? padahal jabatan sipil yg sekarang sdh sangat luar biasa bagusnya.,0,2 bulan yang lalu,@yadiparmadi4995
"Bekas Jendral, Pebisnis, bekas Menteri Pertahanan, berkarir di Militer dalam waktu lama. Jelas jelas kalo dia kebutkan revisi UU utk TNI.",0,2 bulan yang lalu (diedit),@Sh1RoeNii
"Nyesel udah pilih prabowo
Tahun depan ngk mau pilih lagi",0,2 bulan yang lalu,@nurtok1236
Hanya orang yg merasa lahan perutnya terganggu tp rakyat bawah lebih dekat ke tni,0,2 bulan yang lalu,@AnisaRahim-md6ns
Emang benar. Akan mengganggu tantanan sosial korupsi.. Perbanyak lagi donk tni masuk ke sipil. Biar budaya korupsinya hilang,0,2 bulan yang lalu,@AIROFONIK
Selagi ngk nyengsarakan rakyat Indonesia (orang kecil) ok,0,2 bulan yang lalu,@YaniYani-w4u
Pembetuksn uud TNI dampak sosial politik berbahaya kpd ancaman demokrasi.,0,2 bulan yang lalu,@jimbaranbali7506
"Tni itu keras, klo udah turun lapangan salah dikit main tempeleng, klo udah berkuasa kyk gini yg ada elu nanti di tembak lagi bukan di tempeleng😂",0,2 bulan yang lalu,@andola0153
Cukup lh pol aja yg jdi keparat negara jngan lagi tmbah,0,2 bulan yang lalu,@familyesports8509
Jaman p harto juga bagus tegas,0,2 bulan yang lalu,@BandiTeguh
baguslah biar negara kuat nggak banyak korupsi kalo pemimpim TNI negara aman dan sejahtera nggak ada preman pemalak,0,2 bulan yang lalu,@BandiTeguh
Dwi fungsi ABRI bagus bila pemimpinnya menegakan keadilan ..spy gak ada lg pejabat baju coklat semena mena kepada rakyat,0,2 bulan yang lalu,@ConohaAdventure
Bagi rakyat yg penting ..negara aman damai...ekonomi baik2 saja dan rakyat tdk terimidasi ..,0,2 bulan yang lalu,@primasuherman5743
Itu buat mengalihkan UU perampasan aset,0,2 bulan yang lalu,@MochMuflikhun
"Hanya orang merasa pinternya   berlebihan, merasa  uud tni ini meresahkan, , ,",0,2 bulan yang lalu,@AlfinAfeefarganta-mv4ed
dikirimkan surat saja ke PBB demi perlindungan warga sipil untuk menolak UU TNi di campur adukan ke urusan sipil.,0,2 bulan yang lalu,@semesta211
"Gw kira dengan adanya presiden yang pernah jadi kopassus bakal membuat negara semakin aman, kayaknya berbalik 180° dengan ekspektasi gw, malahan kebijakannya ngawur semua, bukannya semakin aman malah ada kericuhan setiap hari, hari hari kalo gak berita kasus korupsi ya berita kericuhan, mana yang memulai kericuhannya pihak keamanan pula",0,2 bulan yang lalu,@ramadhanafdaldanilhaq1218
"Lebih enakan zaman pak jokowi, apa-apa terkendali, bahkan masa pandemi bisa dilalui, lah ini gaada masalah malah bikin masalah",0,2 bulan yang lalu,@ramadhanafdaldanilhaq1218
"Ya biar imbang saja daripada kemaren negara kepoxxxxn republik Indonesia 
Korupsi juga jumbo2",0,2 bulan yang lalu,@jerukpecel-p4v
Inilah pilihan kalian 58 selamat menikmati 98' JILID 2,0,2 bulan yang lalu,@MaryaUlfa-h1h
Saya setuju dengan uu tni..,0,2 bulan yang lalu,@LabuanBandung
intinya ingin intimidasi rakyat kayak zaman orde baru...kasian rakyat,0,2 bulan yang lalu,@fauzan3190
Sahkan saja. Selama ini yang terlihat bikin masalah negara. Kebanyakan pelakunya adalah sipil. Indonesia butuh inovasi baru. Adanya ruu tni adalah jawaban yang selama ini belum terjawab. Indonesia juga butuh orang-orang yang betul mencintai dan merawat negeri ini. Bukan orang yang egois yang memperkaya dirinya di atas penderitaan orang banyak.,0,2 bulan yang lalu,@izzalafifirrahman2646
"Kebutuhan masyarakat 
1. Uu perampasan aset koruptor dan hukuman mati bagi koruptor 
2. Harga murah dan bebas dari mafia ²",0,2 bulan yang lalu,@TribuanaTunggaDewie
"Berarti terbukti yg di atas takut kalo makin banyak tni yg aktif,makanya bikin mahasewa turun ke jalan buat demo",0,2 bulan yang lalu,@sundagaming7060
"uu tni bukan hal yg sangat di perlukan di Negri ini,,, yg paling darurat adalah korupsi yg sdh mnjadi budaya maka uu korupsi yg perlu di revisi dengan menambah pasal hukuman mati seumur hidup dan perampasan aset.",0,2 bulan yang lalu,@AbdMaryono
"100,persen, tidaksetuju,",0,2 bulan yang lalu,@SitMar-j2z
"Tni, cuman, dijadikan, alat, untuk, menakuti, rakyat",0,2 bulan yang lalu,@SitMar-j2z
Saya prang sipil...lebih baik militer yg pimpin indonesia...sipil keluar aja..sipil kebanyakan korupsi,0,2 bulan yang lalu,@AdrianoDacosta-x1r
"Allahu Akbar """"""""""""""""""""""""walillahilhamd yo lanjut uud tni",0,2 bulan yang lalu,@suhirillaha8022
Itu pengalihan pertamina brow.........😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0,2 bulan yang lalu,@mrlitea9629
"⚠️Itu hanya pengalihan isu belaka.
Agar rakyat / mahasiswa tidak fokus ke UU perampasan kendaraan bermotor yg sebelumnya sudah ketok palu😂😂😂😂",0,2 bulan yang lalu,@Predator-w8g
"Kenapa banyak penolakan RUU TNI ?
Kami Rakyat mendukung RUU TNI. Supaya Negara ini aman dari PUNGLI, KORUPTOR dan kelompok BEGAL.",0,2 bulan yang lalu,@titimyulia3693
Saya mendukung  UU Revisi TNI👍🙏😇❤,0,2 bulan yang lalu,@MarieManangka
Memang harus aktif dwifungsi abri,0,2 bulan yang lalu,@satyajr.1042
Memang TNI harus ikut pemerintahan,0,2 bulan yang lalu,@satyajr.1042
Banyak masyarkat yang tidak sadar bahayanya.,0,2 bulan yang lalu,@arialamsyah4105
